Quater,Area,Frequency_of_Activity,Investment,Profit
1,Rural,27,133866,165603
1,Rural,35,134926,176533
1,Rural,24,131199,189222
1,Rural,35,109755,185684
1,Rural,25,131294,161245
1,Rural,25,145932,191440
1,Rural,35,137195,192192
1,Rural,24,109224,195185
1,Rural,27,105946,165047
1,Rural,26,113120,167911
2,Urban,33,110072,172405
2,Urban,39,120309,151296
2,Urban,20,126147,182663
2,Urban,30,108015,160774
2,Urban,38,146862,191397
2,Urban,38,148719,163354
2,Urban,38,116842,187083
2,Urban,37,133459,183973
2,Urban,22,141535,167411
2,Urban,24,102232,165256
1,Urban,38,103048,43152
1,Urban,31,144255,47447
1,Urban,23,126971,46950
1,Urban,29,102095,46627
1,Urban,20,135794,50413
1,Urban,26,134641,44888
1,Urban,36,147089,40994
1,Urban,20,142496,37572
1,Urban,23,106064,43144
1,Urban,25,149141,53965
2,Rural,30,134416,42457
2,Rural,23,119445,35192
2,Rural,23,106145,63326
2,Rural,30,149777,47858
2,Rural,30,140721,63153
2,Rural,36,107809,46334
2,Rural,32,126411,42835
2,Rural,23,108172,58087
2,Rural,40,124771,54014
2,Rural,37,103887,39536
3,Rural,26,134740,45493
3,Rural,33,138051,54629
3,Rural,27,125418,41616
3,Rural,28,108533,58737
3,Rural,37,148923,49734
3,Rural,24,103131,59844
3,Rural,37,106887,58964
3,Rural,23,139381,56251
3,Rural,30,125066,35639
3,Rural,37,109432,37468
3,Urban,29,130778,38872
3,Urban,25,103402,39913
3,Urban,25,135305,40375
3,Urban,20,104691,63904
3,Urban,29,126341,44629
3,Urban,27,104303,43043
3,Urban,40,110569,55084
3,Urban,27,125714,53643
3,Urban,40,104608,50704
3,Urban,33,127284,43035
4,Rural,25,149604,48792
4,Rural,39,118933,44428
4,Rural,39,122238,42916
4,Rural,22,122175,60112
4,Rural,35,103178,36642
4,Rural,30,121437,53831
4,Rural,35,101860,40770
4,Rural,35,125841,44809
4,Rural,33,107796,54959
4,Rural,37,100757,57941
4,Urban,31,144471,59618
4,Urban,30,135516,54541
4,Urban,25,148583,37081
4,Urban,37,125012,51837
4,Urban,26,123905,50256
4,Urban,27,135649,36770
4,Urban,23,147089,64666
4,Urban,32,146145,47822
4,Urban,25,144810,43895
4,Urban,37,133435,43329
