Quater,Area,Frequency_of_Activity,Investment,Profit
3,Rural,73,105859,168947
3,Rural,63,88379,289845
3,Rural,35,52562,296573
3,Rural,30,130357,205746
3,Rural,39,59822,160064
3,Rural,63,82903,224044
3,Rural,63,124870,190816
3,Rural,31,57399,281452
3,Rural,39,106869,189132
3,Rural,75,85684,125133
4,Urban,59,135337,132077
4,Urban,57,121313,132876
4,Urban,42,125357,250212
4,Urban,59,99707,134846
4,Urban,44,81817,233004
4,Urban,38,123052,162742
4,Urban,87,51187,151869
4,Urban,30,110134,286774
4,Urban,45,98477,265175
4,Urban,48,126501,102706
3,Urban,49,145130,43035
3,Urban,80,94271,48792
3,Urban,36,102388,44428
3,Urban,62,120332,42916
3,Urban,81,51532,60112
3,Urban,32,102814,36642
3,Urban,83,56412,53831
3,Urban,60,89182,40770
3,Urban,70,60869,44809
3,Urban,82,62761,54959
4,Rural,62,139718,57941
4,Rural,32,84185,59618
4,Rural,81,119301,54541
4,Rural,44,141665,37081
4,Rural,40,110366,51837
4,Rural,66,112830,50256
4,Rural,73,72604,36770
4,Rural,75,71503,64666
4,Rural,80,88847,47822
4,Rural,65,119415,43895
1,Rural,53,131598,43329
1,Rural,33,61830,41377
1,Rural,30,111506,62936
1,Rural,52,132881,54885
1,Rural,57,103339,43026
1,Rural,83,109876,62745
1,Rural,42,133983,48563
1,Rural,32,132118,49594
1,Rural,89,51216,55512
1,Rural,90,101906,60936
1,Urban,36,123336,37277
1,Urban,48,100159,55066
1,Urban,58,129359,37231
1,Urban,54,74297,45434
1,Urban,83,81563,63825
1,Urban,71,121894,62152
1,Urban,87,74255,42221
1,Urban,85,75380,38902
1,Urban,58,111487,52339
1,Urban,90,97135,58516
2,Rural,39,56084,41507
2,Rural,30,112565,38711
2,Rural,76,82172,53987
2,Rural,90,57319,43506
2,Rural,32,107172,45148
2,Rural,59,81157,42231
2,Rural,52,145415,49215
2,Rural,51,113978,55281
2,Rural,34,125604,35448
2,Rural,55,141954,64282
2,Urban,44,110829,53762
2,Urban,80,65106,58300
2,Urban,33,58100,38354
2,Urban,55,143759,45958
2,Urban,74,93947,44158
2,Urban,49,144913,40983
2,Urban,65,94541,35531
2,Urban,54,112083,54575
2,Urban,69,145551,46106
2,Urban,63,120316,40265
