Quater,Area,Frequency_of_Activity,Investment,Profit
4,Rural,38,125856,136638
4,Rural,51,137612,108254
4,Rural,58,129292,296030
4,Rural,89,144076,327502
4,Rural,90,91518,227168
4,Rural,41,98729,129383
4,Rural,85,116019,149897
4,Rural,84,57640,292372
4,Rural,44,131841,146239
4,Rural,78,89470,129623
1,Urban,30,94017,110310
1,Urban,51,146492,287314
1,Urban,85,101593,167590
1,Urban,43,66369,333833
1,Urban,78,57558,229391
1,Urban,35,99214,239817
1,Urban,57,128595,308832
1,Urban,38,60349,225256
1,Urban,85,50445,281588
1,Urban,63,112437,282439
2,Rural,70,72136,44888
2,Rural,87,127687,40994
2,Rural,89,95100,37572
2,Rural,63,143784,43144
2,Rural,33,91257,53965
2,Rural,64,141651,42457
2,Rural,68,53683,35192
2,Rural,36,125277,63326
2,Rural,60,123905,47858
2,Rural,89,69630,63153
2,Urban,45,55928,46334
2,Urban,80,146323,68827
2,Urban,55,66414,89369
2,Urban,32,80860,67023
2,Urban,34,118547,56792
2,Urban,45,63868,86466
2,Urban,58,142245,86305
2,Urban,47,117419,88294
2,Urban,32,122924,63828
2,Urban,51,62505,89820
4,Urban,69,115012,74615
4,Urban,45,127605,52311
4,Urban,52,123283,50956
4,Urban,31,78481,60172
4,Urban,34,144343,54959
4,Urban,81,95974,57941
4,Urban,50,57454,59618
4,Urban,47,58742,54541
4,Urban,52,54650,37081
4,Urban,72,65525,51837
3,Rural,47,119577,50256
3,Rural,85,93699,36770
3,Rural,53,99770,64666
3,Rural,55,99489,47822
3,Rural,31,120831,43895
3,Rural,49,89540,43329
3,Rural,33,86726,88944
3,Rural,83,149937,85994
3,Rural,33,140233,76754
3,Rural,64,102255,71026
3,Urban,75,76311,55140
3,Urban,32,100790,79446
3,Urban,36,57770,51023
3,Urban,76,71967,53379
3,Urban,42,63397,54752
3,Urban,52,134697,88132
3,Urban,33,100701,50923
3,Urban,89,55153,57916
3,Urban,52,87902,54959
3,Urban,65,105486,57941
1,Rural,37,81374,59618
1,Rural,45,69694,54541
1,Rural,69,139383,37081
1,Rural,59,146242,51837
1,Rural,85,116474,50256
1,Rural,70,105296,36770
1,Rural,73,131269,64666
1,Rural,60,146407,47822
1,Rural,42,143867,43895
1,Rural,43,118047,43329
